event_id,event_type,snapshot_index,snapshot_number,time_gyr,R_host_kpc,time_refined_gyr,R_refined_kpc,V_3d_kms,V_rad_kms,V_tan_kms,event_number,window_snapshot_index_min,window_snapshot_index_max,window_n_snapshots,R_host_kpc_at_event,R_host_kpc_window_min,R_host_kpc_window_median,R_host_kpc_window_max,r_tidal_kpc_at_event,r_tidal_kpc_window_min,r_tidal_kpc_window_median,r_tidal_kpc_window_max,rhalf_star_kpc_at_event,rhalf_star_kpc_window_min,rhalf_star_kpc_window_median,rhalf_star_kpc_window_max,r90_star_kpc_at_event,r90_star_kpc_window_min,r90_star_kpc_window_median,r90_star_kpc_window_max,Mstar_inside_rt_msun_at_event,Mstar_inside_rt_msun_window_min,Mstar_inside_rt_msun_window_median,Mstar_inside_rt_msun_window_max,Mgas_inside_rt_msun_at_event,Mgas_inside_rt_msun_window_min,Mgas_inside_rt_msun_window_median,Mgas_inside_rt_msun_window_max,Mdm_inside_rt_msun_at_event,Mdm_inside_rt_msun_window_min,Mdm_inside_rt_msun_window_median,Mdm_inside_rt_msun_window_max,Msat_inside_rt_msun_at_event,Msat_inside_rt_msun_window_min,Msat_inside_rt_msun_window_median,Msat_inside_rt_msun_window_max,Mstar_inside_rhalf_msun_at_event,Mstar_inside_rhalf_msun_window_min,Mstar_inside_rhalf_msun_window_median,Mstar_inside_rhalf_msun_window_max,Mgas_inside_rhalf_msun_at_event,Mgas_inside_rhalf_msun_window_min,Mgas_inside_rhalf_msun_window_median,Mgas_inside_rhalf_msun_window_max,Mdm_inside_rhalf_msun_at_event,Mdm_inside_rhalf_msun_window_min,Mdm_inside_rhalf_msun_window_median,Mdm_inside_rhalf_msun_window_max,P_ram_dyne_cm2_at_event,P_ram_dyne_cm2_window_min,P_ram_dyne_cm2_window_median,P_ram_dyne_cm2_window_max,rho_cgm_msun_kpc3_at_event,rho_cgm_msun_kpc3_window_min,rho_cgm_msun_kpc3_window_median,rho_cgm_msun_kpc3_window_max,V_rel_cgm_kms_at_event,V_rel_cgm_kms_window_min,V_rel_cgm_kms_window_median,V_rel_cgm_kms_window_max,SFR_tracked_msun_per_yr_at_event,SFR_tracked_msun_per_yr_window_min,SFR_tracked_msun_per_yr_window_median,SFR_tracked_msun_per_yr_window_max,SFR_inside_rt_msun_per_yr_at_event,SFR_inside_rt_msun_per_yr_window_min,SFR_inside_rt_msun_per_yr_window_median,SFR_inside_rt_msun_per_yr_window_max,Mgas_SF_tracked_msun_at_event,Mgas_SF_tracked_msun_window_min,Mgas_SF_tracked_msun_window_median,Mgas_SF_tracked_msun_window_max,Mgas_SF_inside_rt_msun_at_event,Mgas_SF_inside_rt_msun_window_min,Mgas_SF_inside_rt_msun_window_median,Mgas_SF_inside_rt_msun_window_max,Mstar_young_tracked_msun_at_event,Mstar_young_tracked_msun_window_min,Mstar_young_tracked_msun_window_median,Mstar_young_tracked_msun_window_max,Mstar_young_inside_rt_msun_at_event,Mstar_young_inside_rt_msun_window_min,Mstar_young_inside_rt_msun_window_median,Mstar_young_inside_rt_msun_window_max,V_3d_kms_at_event,V_3d_kms_window_min,V_3d_kms_window_median,V_3d_kms_window_max,V_rad_kms_at_event,V_rad_kms_window_min,V_rad_kms_window_median,V_rad_kms_window_max,V_tan_kms_at_event,V_tan_kms_window_min,V_tan_kms_window_median,V_tan_kms_window_max
0,pericentre,5,5,0.9739727201367188,50.03399294194575,0.8994408278032444,46.99695288751883,259.87544762860784,249.6565418560122,72.15857113792178,1,4,6,3,50.03399294194575,50.03399294194575,54.40995494781754,88.35951987060955,14.215722653705237,0.05,14.215722653705237,19.35140052645638,3.1778637093125286,3.1778637093125286,4.37897149919716,35.19936993558108,10.047496260995445,8.792704982402498,10.047496260995445,39.79368538358646,2100154426.170775,0.0,2095660185.8688374,2100154426.170775,2423675898.908186,0.0,1877727352.8667135,2423675898.908186,19260320502.326065,0.0,13858355843.149183,19260320502.326065,23784150827.405025,0.0,17831743381.884735,23784150827.405025,1050115174.1391368,900437673.5720145,1047927668.4873185,1050115174.1391368,745447899.5350654,599651842.039748,745447899.5350654,1846470348.1549804,3290852033.7514343,2817523388.5485797,3290852033.7514343,15319417725.76829,3.4797088760086673e-12,6.044051939020428e-13,1.789929775945476e-12,3.4797088760086673e-12,4145881.1729382123,35062.986618509814,4145881.1729382123,7781791.243478617,35.21513247622339,18.435057839634005,35.21513247622339,159.5900964283538,1.402199309090065,1.0942371628225374,1.402199309090065,1.9735041345375066,1.3065452481059765,0.0,1.0741182817037043,1.3065452481059765,1783851474.1197286,1227518892.3285894,1783851474.1197286,2585520011.843982,1627986048.6247344,0.0,1194583667.8296473,1627986048.6247344,190688656.49387592,105728363.80561057,184814858.30307066,190688656.49387592,170864588.24451256,0.0,100798569.05576889,170864588.24451256,259.87544762860784,179.40614537240447,259.87544762860784,392.1652353527573,249.6565418560122,-344.9865283239783,177.3301512928218,249.6565418560122,72.15857113792178,27.213644369125916,72.15857113792178,186.48824921225582
1,apocentre,13,13,2.539968074082031,183.9823265679321,2.4613731950685804,184.2703603196717,20.18474054292404,-5.505957132379629,19.419273592015728,1,12,14,3,183.9823265679321,180.6376340929048,183.68147028380432,183.9823265679321,32.753764595248214,32.280445913570716,32.69582548785545,32.753764595248214,2.203235803537175,2.203235803537175,2.2057171607243085,2.236820193795546,5.345356647972842,5.2378880650691135,5.345356647972842,5.573209195614158,3287293480.1798687,3170446855.874616,3287293480.1798687,3387213629.8941765,807752114.0330646,715344684.7860322,807752114.0330646,916312487.5885842,11604432657.768484,11591536720.916338,11604432657.768484,11606820794.222586,15699478251.981419,15678296064.37954,15699478251.981419,15709379108.902794,1643657226.2227857,1585235701.8957264,1643657226.2227857,1693664014.2466784,259181336.7416762,230336792.9926026,259181336.7416762,291592114.9906353,2262042849.3246436,2249146912.4724975,2250102167.054138,2262042849.3246436,7.114133539763549e-13,1.1947100619879616e-13,6.596313708727375e-13,7.114133539763549e-13,5876810.800339879,5475399.543979043,5876810.800339879,6955852.915601259,13.37385001034581,5.67792496857858,11.837002846766453,13.37385001034581,0.6815223502853769,0.6056672442064155,0.6815223502853769,0.726243677749153,0.5480806950799888,0.4701389554211346,0.5480806950799888,0.623521166809951,852644713.0316228,772823993.7841862,852644713.0316228,901523103.3390591,660172939.478798,579827773.9813783,660172939.478798,744503896.2850958,78981605.05646956,66185116.747874424,78981605.05646956,89785197.8061226,61779768.05702202,46990383.99849087,61779768.05702202,72583360.80667505,20.18474054292404,20.18474054292404,24.56516956941788,33.98464144383765,-5.505957132379629,-27.416987576468582,-5.505957132379629,12.75782865165411,19.419273592015728,19.419273592015728,20.081450303650264,20.992507331647825
2,pericentre,21,21,4.105963428027343,30.569554394474427,4.101102403194138,30.550555079189508,331.1568622941913,-316.37802110919245,97.82543229429322,2,20,22,3,30.569554394474427,30.569554394474427,58.401532567791314,64.46767402620398,0.05,0.05,13.180162469080809,13.344575107030225,35.96512755527054,1.7959431134947463,2.808817122182157,35.96512755527054,38.68625712727383,5.451212558053988,7.134167725805081,38.68625712727383,0.0,0.0,3468083306.5613117,3700094463.301866,0.0,0.0,246804405.24207368,338792277.29812557,0.0,0.0,7891835726.22278,9731656050.462334,0.0,0.0,11606723438.026165,13770542791.062325,2292221594.143484,1734085746.1385894,1850057079.7732506,2292221594.143484,355994114.10657924,103106132.74668866,150830741.495156,355994114.10657924,7340176205.325406,1676471790.779033,2271595395.141048,7340176205.325406,3.017141858435598e-12,2.994468082860291e-12,3.017141858435598e-12,9.53732069018062e-12,44347.86918945099,44347.86918945099,3316881.692221054,7653525.552859476,317.05001813688386,36.52255483892124,42.90903236634159,317.05001813688386,0.3082496617571451,0.2347534919026657,0.2865170407567348,0.3082496617571451,0.0,0.0,0.16380654106251313,0.20350701791176107,368475935.23816615,281103189.99097216,368475935.23816615,390817345.48744863,0.0,0.0,182821962.74412856,271243600.49128884,35452566.49886142,27690761.99911069,35452566.49886142,36396569.7488311,0.0,0.0,17516504.74943745,22760967.249269016,331.1568622941913,215.80079413075364,243.30599224112353,331.1568622941913,-316.37802110919245,-316.37802110919245,-228.33490643123244,208.87769972142186,97.82543229429322,54.222590371093844,84.02961600220478,97.82543229429322
