r_mid_kpc,r_lo_kpc,r_hi_kpc,mass_msun,density_msun_kpc3,N
0.03242338698359277,0.029999999999999995,0.03504253411626043,275678.1509560824,4105248958.211223,9
0.037873254817908805,0.03504253411626043,0.04093263990964255,201384.92345722625,1881660881.5629313,7
0.044239160801679805,0.04093263990964255,0.04781278101674175,96349.97013563407,564863140.271293,4
0.0516750767222532,0.04781278101674175,0.05584936699908207,235972.14067194727,868019803.9130028,8
0.060360854633331115,0.05584936699908207,0.06523677828122945,776481.6882627201,1792162432.270521,26
0.07050657692583809,0.06523677828122945,0.0762020676184967,813972.3468048032,1178780794.8229392,25
0.08235763757814739,0.0762020676184967,0.0890104518083585,1335135.5778468132,1213182171.0273569,46
0.09620067748556141,0.0890104518083585,0.10397172647327194,1747638.1435699295,996390125.8187065,54
0.11237051742650511,0.10397172647327194,0.12144775906887102,2389008.8664302323,854619723.08623,79
0.13125825635267144,0.12144775906887102,0.14186124135047634,3460120.892668783,776647005.7917194,121
0.15332073087597825,0.14186124135047634,0.16570591299330412,5409967.991454324,761911177.1789155,177
0.17909156474838175,0.16570591299330412,0.19355850364446475,6510568.0448596105,575315110.8321513,211
0.20919407558765443,0.19355850364446475,0.22609268224844922,8660741.39025841,480196753.1219515,285
0.2443563510233315,0.22609268224844922,0.26409535103760373,9554220.209793128,332381348.15004385,304
0.2854288589086668,0.26409535103760373,0.30848567828936685,12808960.536858648,279597018.16232497,403
0.3334050175357415,0.30848567828936685,0.3603373301944293,14148963.127809111,193785158.4096864,448
0.38944522338428766,0.3603373301944293,0.42090443955668305,15637310.170859564,134380173.59289747,489
0.4549049175619522,0.42090443955668305,0.49165193942835145,14764239.190299122,79608871.80692428,473
0.5313673697773118,0.49165193942835145,0.5742909953581206,17669048.78650166,59777922.32711132,565
0.6206819727896341,0.5742909953581206,0.6708203932499368,17345192.27284181,36820019.53465316,563
0.7250089735609528,0.6708203932499368,0.7835748838781385,19200552.960683126,25573836.369641,634
0.846871723020155,0.7835748838781385,0.9152816533648158,18200347.04792306,15210345.000478974,605
0.9892177082010013,0.9152816533648158,1.0691262854674606,19123278.58121898,10027646.069808671,632
1.1554898429347518,1.0691262854674606,1.2488298111028096,21027096.952366263,6918201.578040194,692
1.349709741401115,1.2488298111028096,1.4587387086991093,20012013.189898424,4131254.263391927,658
1.576574988669921,1.4587387086991093,1.703930032209941,19313347.54999625,2501646.5529923714,642
1.841572760910287,1.703930032209941,1.9903342095145868,20124434.912531797,1635570.7616810144,659
2.1511125433924887,1.9903342095145868,2.3248784813225054,19262531.861841127,982282.1760981043,632
2.5126811563249016,2.3248784813225054,2.7156544499301214,20461416.628450025,654690.2024486946,654
2.9350238381266696,2.7156544499301214,3.1721137903216916,19429806.24676238,390072.97516664554,620
3.428355765986382,3.1721137903216916,3.7052968572669363,22994011.354739994,289647.2330366378,729
4.004609129741866,3.7052968572669363,4.328099717721639,25508095.41844501,201609.0044964719,789
4.677721735042245,4.328099717721639,5.0555860672279245,21855770.247611873,108386.51653312937,682
5.463974116219695,5.0555860672279245,5.905351574617516,21719629.593235366,67583.20852728558,680
6.382383312599754,5.905351574617516,6.897949467401553,21059921.207324803,41116.9018584773,656
7.455162832494272,6.897949467401553,8.057387651455313,20168966.1207638,24707.25670099792,611
8.708259929998578,8.057387651455313,9.411709388801947,11151214.846449874,8571.174243113048,344
10.17198318967463,9.411709388801947,10.993671578314029,7481464.0879594665,3608.1284153913134,233
11.881735598473362,10.993671578314029,12.841537044867737,4703170.143329771,1423.1914637748923,151
13.878870835662967,12.841537044867737,15.000000000000004,2636732.0970166475,500.62887568081146,89
