r_mid_kpc,r_lo_kpc,r_hi_kpc,mass_msun,density_msun_kpc3,N
0.03242338698359277,0.029999999999999995,0.03504253411626043,0.0,0.0,0
0.037873254817908805,0.03504253411626043,0.04093263990964255,113436.56296958216,1059906270.1143519,2
0.044239160801679805,0.04093263990964255,0.04781278101674175,340309.68890874647,1995105958.7370603,6
0.0516750767222532,0.04781278101674175,0.05584936699908207,737337.659302284,2712284969.8389335,13
0.060360854633331115,0.05584936699908207,0.06523677828122945,170154.84445437323,392726737.1652227,3
0.07050657692583809,0.06523677828122945,0.0762020676184967,0.0,0.0,0
0.08235763757814739,0.0762020676184967,0.0890104518083585,170154.84445437323,154612630.38087007,3
0.09620067748556141,0.0890104518083585,0.10397172647327194,2779195.792754763,1584517513.4259326,49
0.11237051742650511,0.10397172647327194,0.12144775906887102,2779195.792754763,994201223.8554637,49
0.13125825635267144,0.12144775906887102,0.14186124135047634,4537462.518783286,1018463455.0115775,80
0.15332073087597825,0.14186124135047634,0.16570591299330412,2892632.355724345,407382987.62157524,51
0.17909156474838175,0.16570591299330412,0.19355850364446475,12591458.48962362,1112661182.032458,222
0.20919407558765443,0.19355850364446475,0.22609268224844922,9188361.600536155,509450774.27790886,162
0.2443563510233315,0.22609268224844922,0.26409535103760373,14916908.030500054,518943659.7165451,263
0.2854288589086668,0.26409535103760373,0.30848567828936685,21836538.371644564,476653120.9250135,385
0.3334050175357415,0.30848567828936685,0.3603373301944293,24275424.47549058,332477859.6814212,428
0.38944522338428766,0.3603373301944293,0.42090443955668305,29947252.62396969,257353532.1783663,528
0.4549049175619522,0.42090443955668305,0.49165193942835145,44694005.810015365,240990364.16351616,788
0.5313673697773118,0.49165193942835145,0.5742909953581206,54676423.351338595,184981264.5668574,964
0.6206819727896341,0.5742909953581206,0.6708203932499368,72032217.48568466,152908518.5812562,1270
0.7250089735609528,0.6708203932499368,0.7835748838781385,88877547.08666763,118378874.33678542,1567
0.846871723020155,0.7835748838781385,0.9152816533648158,97612162.43532544,81576173.40893084,1721
0.9892177082010013,0.9152816533648158,1.0691262854674606,134649200.24489403,70605807.36216652,2374
1.1554898429347518,1.0691262854674606,1.2488298111028096,171516083.2100082,56431129.80411787,3024
1.349709741401115,1.2488298111028096,1.4587387086991093,218138510.5905065,45032233.55568702,3846
1.576574988669921,1.4587387086991093,1.703930032209941,269922301.5861207,34962877.0253667,4759
1.841572760910287,1.703930032209941,1.9903342095145868,343145602.982986,27888431.03807507,6050
2.1511125433924887,1.9903342095145868,2.3248784813225054,444784763.4037316,22681553.412871983,7842
2.5126811563249016,2.3248784813225054,2.7156544499301214,526459088.74183077,16844757.801867474,9282
2.9350238381266696,2.7156544499301214,3.1721137903216916,629856515.8886049,12645005.408723794,11105
3.428355765986382,3.1721137903216916,3.7052968572669363,699336410.707474,8809287.479169553,12330
4.004609129741866,3.7052968572669363,4.328099717721639,933526194.9581764,7378335.534247837,16459
4.677721735042245,4.328099717721639,5.0555860672279245,1087459610.9078994,5392898.889466428,19173
5.463974116219695,5.0555860672279245,5.905351574617516,1258862257.5549378,3917099.5110322963,22195
6.382383312599754,5.905351574617516,6.897949467401553,1548182211.4088573,3022635.052566015,27296
7.455162832494272,6.897949467401553,8.057387651455313,1790199118.5044608,2193018.169694604,31563
8.708259929998578,8.057387651455313,9.411709388801947,2047416525.0379882,1573708.6968525664,36098
10.17198318967463,9.411709388801947,10.993671578314029,2185582258.7349396,1054053.2386712953,38534
11.881735598473362,10.993671578314029,12.841537044867737,2367647942.301119,716456.3981352171,41744
13.878870835662967,12.841537044867737,15.000000000000004,2592309055.2623763,492194.3982179985,45705
