kind,t_event,R_event_kpc,index_nearest_snapshot,t_nearest_snapshot,R_nearest_snapshot_kpc,event_number
pericentre,0.9739666105089406,50.03171687705662,5,0.9739727201367188,50.031716870890534,1
apocentre,2.539968481455078,183.98465389981965,13,2.539968074082031,183.98465389984202,1
pericentre,4.1059619582971685,44.273073243398706,21,4.105963428027343,44.27307324205865,2
