label,snapshot_file,snapshot_number,time_gyr,center_method,x0_kpc,y0_kpc,z0_kpc,vx0_kms,vy0_kms,vz0_kms,R0_kpc,V0_kms,Vrad0_kms,Vtan0_kms,Vtan0_over_V0,Lx0_kpc_kms,Ly0_kpc_kms,Lz0_kpc_kms,L0_kpc_kms,orbital_plane_inclination_deg,Mhost_R0_msun,Phi_NFW_R0_km2_s2,E0_km2_s2,is_bound_E0_lt_0,Vcirc_R0_kms,Vesc_R0_kms,V0_over_Vcirc,Vtan0_over_Vcirc,L0_over_Lcirc_local,z0_over_R0,vz0_over_V0,rperi_pred_kpc,rapo_pred_kpc,Nstar_total,Mstar_total_msun,Ngas_selected,Mgas_selected_msun,Ndm_selected,Mdm_selected_msun,rhalf_star_initial_kpc,star_core_x_kpc,star_core_y_kpc,star_core_z_kpc,star_core_vx_kms,star_core_vy_kms,star_core_vz_kms,gas_selection_radius_kpc,dm_selection_radius_kpc,center_radius_kpc,N_center_particles,M_center_msun,offset_center_from_star_core_kpc
E_mid_L_radial,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_000.hdf5,0,0.0,star_core,149.78392273929705,79.81366993241522,0.05473307363820322,-115.56004177775797,-37.7028770946891,1.966722292186648,169.72167927215892,121.5709594988416,-119.71442776022843,21.164923328706713,0.17409522320096835,159.03491822570396,-300.90833613879397,3575.9862020259643,3592.1463290145844,5.436832511541091,884200015814.1841,-37553.337431456144,-30163.58833472165,True,149.68792785331144,274.05597031065076,0.8121627524831301,0.14139365566906334,0.14139365566906292,0.0003224872265754303,0.016177566585755112,8.717505182,240.72186175,7584,497386913.63018006,44554,4673235598.511382,70681,33759174542.465187,1.652173439958116,149.78392273929705,79.81366993241522,0.05473307363820322,-115.56004177775797,-37.7028770946891,1.966722292186648,30.0,80.0,,7584,497386913.63018006,0.0
E_mid_L_radial,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_000.hdf5,0,0.0,stars_com,149.9999999879278,79.99999998792819,8.172333656659417e-10,-117.44500004091435,-34.86799998732242,6.343469140142131e-09,169.9999999836672,122.5116543751095,-120.03641179555727,24.50235296810668,0.20000018033455588,5.359728241184728e-07,-1.0475003436088132e-06,4165.400004177945,4165.400004177945,0.0,885071716840.4752,-37516.63590637302,-30012.083177509878,True,149.63905195782223,273.9220177582409,0.8187144516903319,0.16374303798057338,0.16374303798057344,4.807255092614456e-12,5.1778495462313537e-11,10.289338273,242.166176385,7584,497386913.63018006,44554,4673235598.511382,70681,33759174542.465187,1.652173439958116,149.78392273929705,79.81366993241522,0.05473307363820322,-115.56004177775797,-37.7028770946891,1.966722292186648,30.0,80.0,,7584,497386913.63018006,0.29052362420932626
E_mid_L_radial,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_000.hdf5,0,0.0,inner_stars_dm,149.80382769118162,79.86051307806554,0.05456234347994859,-118.7528042813243,-34.52240791681728,-2.6100728650350637,169.76127743708352,123.69655473542679,-121.03316233961876,25.530594734277688,0.20639697515330802,-206.55813469432442,384.5194744387367,4312.071032310076,4334.1063758194405,5.780054503928305,884324105338.5437,-37548.11057647762,-29897.691749770405,True,149.68097097073283,274.0368974298082,0.8264013383479001,0.17056673649765203,0.17056673649765133,0.000321406296557649,-0.021100610850623286,10.756593831,243.482995641,7584,497386913.63018006,44554,4673235598.511382,70681,33759174542.465187,1.652173439958116,149.78392273929705,79.81366993241522,0.05473307363820322,-115.56004177775797,-37.7028770946891,1.966722292186648,30.0,80.0,3.304346879916232,12230,3723065756.36685,0.05089711733222724
E_mid_L_radial,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_000.hdf5,0,0.0,inner_stars_dm_gas,149.7739359044587,79.84612166684205,0.05610536691087347,-118.14754400927454,-36.018572878872305,-1.3987687727382063,169.72813016515929,123.52382888225935,-121.20232806715235,23.835519143414164,0.1929629235030736,-109.66542636485899,202.87039320699157,4038.979747872816,4045.558095727523,3.2678769372597998,884220232639.8323,-37552.48581404991,-29923.417663183067,True,149.68679444631087,274.0528628350739,0.8252152725908259,0.15923595151851155,0.1592359515185107,0.00033056021330275884,-0.011323878035479996,9.948226987,243.414150558,7584,497386913.63018006,44554,4673235598.511382,70681,33759174542.465187,1.652173439958116,149.78392273929705,79.81366993241522,0.05473307363820322,-115.56004177775797,-37.7028770946891,1.966722292186648,30.0,80.0,3.304346879916232,15562,4072556737.164632,0.03398139382403248
E_mid_L_radial,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_radial/output/snapshot_000.hdf5,0,0.0,all_tracked,149.67658328590355,80.40207107342592,0.1436577352932145,-114.32664329809535,-31.179540885218938,-0.8800218376977518,169.90465930804595,118.50535673992883,-115.47092064184763,26.645563649169116,0.22484691310322213,-66.27639610968878,115.2947552237019,4525.251751916968,4527.205413882936,1.6833051808052688,884773235079.2479,-37529.198797244404,-30507.439009215508,True,149.65578910518514,273.967876939047,0.791852807355402,0.17804565936598254,0.1780456593659827,0.0008455196925044626,-0.007426008932482627,11.356562931,235.583897734,7584,497386913.63018006,44554,4673235598.511382,70681,33759174542.465187,1.652173439958116,149.78392273929705,79.81366993241522,0.05473307363820322,-115.56004177775797,-37.7028770946891,1.966722292186648,30.0,80.0,,122819,38929797054.60676,0.6046860809113764
E_mid_L_mid,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_000.hdf5,0,0.0,star_core,149.78392273929705,79.81366993241522,0.05473307363820322,-120.55704168728583,1.2861228846799442,1.966722292186648,169.72167927215892,120.57994198472255,-105.78936564025331,57.86304975087166,0.4798729274409743,156.90093041875323,-301.18183730281226,9814.740464049597,9820.613971526418,1.9817037022195483,884200015814.1841,-37553.337431456144,-30283.576226936617,True,149.68792785331144,274.05597031065076,0.8055421951119958,0.38655789134562196,0.3865578913456221,0.0003224872265754303,0.01631052611085044,29.417689986,229.558238958,7584,497386913.63018006,44554,4673235598.511382,70681,33759174542.465187,1.652173439958116,149.78392273929705,79.81366993241522,0.05473307363820322,-120.55704168728583,1.2861228846799442,1.966722292186648,30.0,80.0,,7584,497386913.63018006,0.0
E_mid_L_mid,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_000.hdf5,0,0.0,stars_com,149.9999999879278,79.99999998792819,8.172333656659417e-10,-122.44199997239271,4.120999988216372,6.343469140142131e-09,169.9999999836672,122.51133008070028,-106.09776468885924,61.255941149979485,0.5000022537477078,5.041097124445139e-07,-1.0515840586810477e-06,10413.509994496026,10413.509994496026,0.0,885071716840.4752,-37516.63590637302,-30012.12290730187,True,149.63905195782223,273.9220177582409,0.8187122845126801,0.4093579874272746,0.40935798742727436,4.807255092614456e-12,5.177863252291508e-11,31.748521004,231.62472323,7584,497386913.63018006,44554,4673235598.511382,70681,33759174542.465187,1.652173439958116,149.78392273929705,79.81366993241522,0.05473307363820322,-120.55704168728583,1.2861228846799442,1.966722292186648,30.0,80.0,,7584,497386913.63018006,0.29052362420932626
E_mid_L_mid,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_000.hdf5,0,0.0,inner_stars_dm,149.80382769118162,79.86051307806554,0.05456234347994859,-123.74980422409847,4.4665921209164425,-2.6100728650350637,169.76127743708352,123.85789022520173,-107.10117581877925,62.21024923011526,0.5022711844760388,-208.68546590632297,384.2468264114898,10551.835455095223,10560.89137898371,2.372929103572117,884324105338.5437,-37548.11057647762,-29877.72209095856,True,149.68097097073283,274.0368974298082,0.8274792007423556,0.4156189582861488,0.41561895828614887,0.000321406296557649,-0.02107312550124469,32.311030433,233.027039008,7584,497386913.63018006,44554,4673235598.511382,70681,33759174542.465187,1.652173439958116,149.78392273929705,79.81366993241522,0.05473307363820322,-120.55704168728583,1.2861228846799442,1.966722292186648,30.0,80.0,3.304346879916232,12230,3723065756.36685,0.05089711733222724
E_mid_L_mid,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_000.hdf5,0,0.0,inner_stars_dm_gas,149.7739359044587,79.84612166684205,0.05610536691087347,-123.14441525887962,2.9694229903190763,-1.3987687727382063,169.72813016515929,123.18815298731614,-107.27040537905333,60.56716244170576,0.4916638570589004,-111.8528621782196,202.59004191212605,10277.346131977898,10279.951230640176,1.2899217416566062,884220232639.8323,-37552.48581404991,-29964.82529583671,True,149.68679444631087,274.0528628350739,0.8229727508227243,0.404625956923874,0.4046259569238737,0.00033056021330275884,-0.011354734516412696,31.174821548,232.587781278,7584,497386913.63018006,44554,4673235598.511382,70681,33759174542.465187,1.652173439958116,149.78392273929705,79.81366993241522,0.05473307363820322,-120.55704168728583,1.2861228846799442,1.966722292186648,30.0,80.0,3.304346879916232,15562,4072556737.164632,0.03398139382403248
E_mid_L_mid,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_000.hdf5,0,0.0,all_tracked,149.67658328590355,80.40207107342592,0.1436577352932145,-119.32041205740974,7.784247472562254,-0.8800218376977518,169.90465930804595,119.57729584122133,-101.43175864986551,63.32715071669022,0.5295917613054079,-71.87384570361175,114.57736171316078,10758.727815895374,10759.57796746853,0.7202629124518142,884773235079.2479,-37529.198797244404,-30379.83395689492,True,149.65578910518514,273.967876939047,0.7990155045534307,0.4231520283667805,0.42315202836678045,0.0008455196925044626,-0.007359439193760275,33.373676444,225.921538454,7584,497386913.63018006,44554,4673235598.511382,70681,33759174542.465187,1.652173439958116,149.78392273929705,79.81366993241522,0.05473307363820322,-120.55704168728583,1.2861228846799442,1.966722292186648,30.0,80.0,,122819,38929797054.60676,0.6046860809113764
